Chord Progression,Emotional Quality
i - iv - v,"Somber, introspective"
i - VI - III - VII,"Melancholic, dramatic"
ii° - v - i,"Tense, resolving"
i - iv - VI - VII,"Dark, hopeful"
i - v - iv - v,"Mournful, reflective"
i - VI - VII,"Triumphant, strong"
i - iv - V,"Brooding, powerful"
i - VI - iv - V,"Hopeful, ascending"
iv - V - i,"Conclusive, bittersweet"
i - VII - VI - VII,"Expansive, mysterious"
i - III - VII - VI,"Longing, evolving"
i - iv - VII - i,"Dreamy, unsettled"
III - VII - i,"Regal, haunting"
i - v - VII,"Hopeful, ascending"
i - iv - V - i,"Mysterious, unfolding"
i - III - iv,"Poignant, reflective"
i - VI - VII - i,"Dark, resolute"
i - III - VII,"Bittersweet, concluding"
ii° - V - i,"Tense, jazzy"
VI - VII - i,"Mournful, serene"
i - v - III,"Dramatic, flowing"
i - iv - VII,"Ethereal, expansive"
i - v - VI - VII,"Haunting, rising"
i - III - v,"Dark, assertive"
VII - VI - v - i,"Restless, melancholic"
i - iv - V - VII,"Expansive, unsettled"
ii° - V - VI,"Mournful, jazzy"
III - VI - VII,"Majestic, evolving"
i - V - VII - i,"Resolute, cyclical"
i - iv - v - iv,"Somber, pensive"
VI - VII - iv,"Brooding, evolving"
i - VI - v - IV,"Sentimental, yearning"
i - iv - VII - VI,"Somber, majestic"
III - VII - VI - VII,"Expansive, evolving"
i - III - VI,"Ethereal, wistful"
i - iv - v - V,"Dark, cycling"
VII - VI - iv,"Haunting, flowing"
i - v - VII - VI,"Tense, resolving"
VI - i - iv,"Melancholic, lyrical"
i - VII - VI - iv,"Flowing, evolving"
i - III - VII - V,"Bittersweet, yearning"
i - iv - VI,"Mournful, steadfast"
i - v - VII - VII,"Expansive, lyrical"
ii° - VII - i,"Brooding, cyclical"
i - III - v - iv,"Mournful, wistful"
iv - V - i - VII,"Hopeful, building"
VI - VII - v,"Evolving, bittersweet"
VII - VI - iv - v,"Wistful, pensive"
i - v - III - VII,"Resolute, flowing"
